ime,posred,vrsta,tip,leto,zemljisce,velikost,cena,agencija
VRTOJBA,Prodaja,Stanovanje,dvosobno,2012,,9614.75,4900000.0,
"ZAGORJE OB SAVI, CENTER MESTA",Prodaja,Poslovni prostor,Neživilska trgovina,1996,,38.6,950.0,
ZALOG,Prodaja,Stanovanje,enosobno,2019,,57.83,156000.0,
"ZAPLANA - DEL, IDILIČNA HIŠA V OBJEMU NARAVE Z BAZENOM",Prodaja,Hiša,Samostojna,1983,,141.0,195000.0,
"ZBILJE, ENOTA B, BLIŽINA JEZERA 150M",Prodaja,Hiša,Dvojček,2019,,210.5,189000.0,
ZGORNJA KUNGOTA,Prodaja,Hiša,Samostojna,2016,,196.9,295000.0,
"ZGORNJA POLSKAVA, MARIBOR 15 MINUT",Prodaja,Hiša,Dvostanovanjska,2012,,320.0,180000.0,
ZGORNJE RADVANJE,Prodaja,Stanovanje,dvosobno,2002,,64.6,116000.0,
ZGORNJE RADVANJE,Prodaja,Počitniški objekt,Drugo,2008,,4871.0,3000000.0,
"ADLEŠIČI, PLEŠIVICA",Prodaja,Vikend,Zidan,1968,,70.0,28000.0,
AJDOVŠČINA,Prodaja,Garaža,Vsi tipi,1995,,13.0,9600.0,
AJDOVŠČINA,Prodaja,Stanovanje,garsonjera,1977,,28.0,65000.0,
AJDOVŠČINA,Prodaja,Stanovanje,trisobno,2000,,58.6,109000.0,
AJDOVŠČINA,Prodaja,Poslovni prostor,Pisarna,1972,,69.9,110000.0,
AJDOVŠČINA,Prodaja,Stanovanje,trisobno,1982,,75.2,129000.0,
AJDOVŠČINA,Prodaja,Poslovni prostor,Gostinski lokal,1968,,158.4,283000.0,
AJDOVŠČINA,Prodaja,Hiša,Samostojna,2019,,180.0,245000.0,
AJDOVŠČINA,Prodaja,Hiša,Samostojna,1995,,223.2,155000.0,
AJDOVŠČINA,Prodaja,Hiša,Samostojna,2014,,286.3,550000.0,
AJDOVŠČINA,Prodaja,Hiša,Atrijska,1878,,360.0,150000.0,
AJDOVŠČINA,Prodaja,Poslovni prostor,Večji poslovni kompleks,1912,,1172.6,1600000.0,
AJDOVŠČINA,Prodaja,Poslovni prostor,Večji poslovni kompleks,2012,,1172.6,1600000.0,
"AJDOVŠČINA, BEVKOVA ULICA 6",Prodaja,Stanovanje,garsonjera,1982,,39.0,65000.0,
"AJDOVŠČINA, BLIŽINA CENTRA",Prodaja,Hiša,Dvojček,2019,,220.0,345000.0,
"AJDOVŠČINA, CENTER",Prodaja,Stanovanje,dvosobno,1978,,54.0,113000.0,
"AJDOVŠČINA, CENTER",Prodaja,Hiša,Vrstna,1975,,90.0,142500.0,
"AJDOVŠČINA, CENTER MESTA",Prodaja,Garaža,Vsi tipi,1995,,13.0,9200.0,
"AJDOVŠČINA, CENTER MESTA",Prodaja,Hiša,Vrstna,1750,,200.0,190000.0,
"AJDOVŠČINA, PLAČE",Prodaja,Hiša,Samostojna,2019,,171.2,215000.0,
"AJDOVŠČINA, PREDMEJA",Prodaja,Hiša,Dvojček,1995,,142.0,72500.0,
"AJDOVŠČINA, SOSESKA KRESNICE",Prodaja,Stanovanje,dvosobno,2009,,54.15,125000.0,
"AJDOVŠČINA, ŠMARJE",Prodaja,Hiša,Samostojna,2003,,223.0,249000.0,
"AJDOVŠČINA, TEVČE",Prodaja,Hiša,Samostojna,2007,,180.0,245000.0,
"AJDOVŠČINA, ŽAPUŽE",Prodaja,Hiša,Samostojna,1985,,286.0,379000.0,
AJŠEVICA,Prodaja,Stanovanje,dvosobno,2019,,66.0,129300.0,
AJŠEVICA,Prodaja,Stanovanje,štirisobno,2019,,120.0,200000.0,
AMBROŽ POD KRVAVCEM,Prodaja,Stanovanje,garsonjera,1989,,25.0,55000.0,
AMBROŽ POD KRVAVCEM,Prodaja,Stanovanje,dvosobno,1988,,48.0,115000.0,
AMBROŽ POD KRVAVCEM,Prodaja,Vikend,Bivalen,2010,,140.0,170000.0,
AMBROŽ POD KRVAVCEM,Prodaja,Vikend,Bivalen,2010,,140.0,130000.0,
AMBROŽ POD KRVAVCEM,Prodaja,Hiša,Samostojna,2013,,140.0,170000.0,
AMBROŽ POD KRVAVCEM,Prodaja,Hiša,Samostojna,2015,,212.0,350000.0,
"AMBROŽ POD KRVAVCEM, BLIŽINA SMUČIŠČA",Prodaja,Vikend,Bivalen,1980,,100.0,199000.0,
"AMBROŽ POD KRVAVCEM, DOM NA KRIŠKI PLANINI",Prodaja,Stanovanje,Apartma,1988,,23.2,52000.0,
"AMBROŽ POD KRVAVCEM, DOM NA KRVAVCU",Prodaja,Stanovanje,Apartma,1980,,44.9,110000.0,
"AMBROŽ POD KRVAVCEM, KRVAVEC",Prodaja,Počitniški objekt,Koča,1959,,10.0,98000.0,
"AMBROŽ POD KRVAVCEM, KRVAVEC",Prodaja,Počitniški objekt,Apartma,1980,,30.5,62500.0,
"AMBROŽ POD KRVAVCEM, KRVAVEC - NA SMUČIŠČU",Prodaja,Stanovanje,trisobno,2010,,60.0,122000.0,
"AMBROŽ POD KRVAVCEM, TIK OB SMUČIŠČU KRVAVEC",Prodaja,Vikend,Bivalen,1980,,100.0,199000.0,
ANDRAŽ NAD POLZELO,Prodaja,Hiša,Samostojna,1955,,94.8,177770.0,
"ANDRAŽ NAD POLZELO, POLZELA",Prodaja,Hiša,Samostojna,1989,,76.7,83700.0,
