ime,posred,vrsta,koliko_sobno,leto_izgradnje,zemljisce,velikost,cena,agencija
"ŠKOFLJICA, LAVRICA, NA KLJUČ",Prodaja,Hiša,,,,"116,00","275.000,00",Studio modul d.o.o.
ŠMARJE,Prodaja,Posest,,,,"10.721,00","1.300.000,00","DUTB, d.d."
"ŠMARTNO OB SAVI, V NEPOSREDNI BLIŽINI BTC - JA",Prodaja,Hiša,,,,"170,00","355.000,00",Mauma M d.o.o.
TABOR,Prodaja,Hiša,,,,"175,00","420.000,00",Zasebna ponudba
TREBNJE,Prodaja,Hiša,,,,"120,00","229.000,00",Mezanin nepremičnine d.o.o.
"TROJANE, BLIŽINA AC, 25 MIN DO LJ.",Prodaja,Stanovanje,,,,"62,70","79.000,00",Premium nepremičnine d.o.o.
"TROJANE, OKOLICA IZLAKE",Prodaja,Stanovanje,,,,"108,20","135.000,00 &euro;<span class=""cena-old"">139.000,00",Premium nepremičnine d.o.o.
"TROJANE, POLŠINA, BLIŽINA AC",Prodaja,Hiša,,,,"95,00","68.000,00",Premium nepremičnine d.o.o.
VELENJE,Prodaja,Poslovni prostor,,,,"4.144,00","1.980.000,00","DUTB, d.d."
"VELIKE MALENCE, 50",Prodaja,Hiša,,,,"415,53","299.999,00",Zasebna ponudba
VELIKI GABER,Prodaja,Hiša,,,,"240,00","295.000,00",Soseska Gaber d.o.o.
VELIKI GABER,Prodaja,Hiša,,,,"240,00","285.000,00",Soseska Gaber d.o.o.
"VELIKI LOČNIK, VRH NAD ŽELIMLJAMI",Prodaja,Hiša,,,,"221,84","228.855,00",Premium nepremičnine d.o.o.
VERD,Prodaja,Poslovni prostor,,,,"1.802,00","1.550.000,00",ABC nepremičnine d.o.o.
VIPAVA,Prodaja,Stanovanje,,,,"677,00","420.000,00","DUTB, d.d."
VIŽMARJE,Prodaja,Stanovanje,,,,"33,97","119.223,00",Mreža nepremičnin d.o.o.
VIŽMARJE,Prodaja,Stanovanje,,,,"43,48","138.143,00",Mreža nepremičnin d.o.o.
VIŽMARJE,Prodaja,Poslovni prostor,,,,"80,14","158.645,00",Mreža nepremičnin d.o.o.
"VNANJE GORICE, BREZOVICA PRI LJUBLJANI",Prodaja,Stanovanje,,,,"112,30","190.000,00 &euro;<span class=""cena-old"">195.000,00",Premium nepremičnine d.o.o.
"VODICE, NOVO NASELJE",Prodaja,Hiša,,,,"158,00","490.000,00",Jaris d.o.o.
"VOJNIK, CESTA TALCEV, OBJEKT 3",Prodaja,Hiša,,,,"126,00","126.500,00","Biro nepremičnin, Darko Fir s.p."
"VRHNIKA, VRTNARIJA",Prodaja,Stanovanje,,,,"45,90","117.000,00",MKA nepremičnine d.o.o.
VRHPOLJE PRI KAMNIKU,Prodaja,Posest,,,,"527,10","110,00",Premium nepremičnine d.o.o.
VRHPOLJE PRI KAMNIKU,Prodaja,Posest,,,,"674,00","95,00",Premium nepremičnine d.o.o.
VRTOJBA,Prodaja,Stanovanje,,,,"9.614,75","4.900.000,00","DUTB, d.d."
"ZAGORJE OB SAVI, CENTER MESTA",Prodaja,Poslovni prostor,,,,"38,60","950,00","Tref, d.o.o."
ZALOG,Prodaja,Stanovanje,,,,"57,83","156.000,00","GB nepremičnine, Goran Barišić s.p."
"ZAPLANA - DEL, IDILIČNA HIŠA V OBJEMU NARAVE Z BAZENOM",Prodaja,Hiša,,,,"141,00","195.000,00",ABC nepremičnine d.o.o.
"ZBILJE, ENOTA B, BLIŽINA JEZERA 150M",Prodaja,Hiša,,,,"210,50","189.000,00",Equel d.o.o.
ZGORNJA KUNGOTA,Prodaja,Hiša,,,,"196,90","295.000,00","RE/MAX Avenija, Nepremičnine Maribor d.o.o."
"ZGORNJA POLSKAVA, MARIBOR 15 MINUT",Prodaja,Hiša,,,,"320,00","180.000,00",Zasebna ponudba
"ZGORNJE DUPLICE, POLICA, GROSUPLJE",Prodaja,Posest,,,,"1.068,00","90.000,00",Premium nepremičnine d.o.o.
ZGORNJE RADVANJE,Prodaja,Stanovanje,,,,"64,60","116.000,00",Atrium nepremičnine d.o.o.
MAREZIGE,Oddaja,Stanovanje,,,,"80,00","320,00",Zasebna ponudba
ZGORNJE RADVANJE,Prodaja,Počitniški objekt,,,,"4.871,00","3.000.000,00","DUTB, d.d."
"ADLEŠIČI, PLEŠIVICA",Prodaja,Vikend,,,,"70,00","28.000,00",Zasebna ponudba
AJBA,Prodaja,Posest,,,,"54.194,00","0,20",Renes d.o.o.
"AJBELJ, NA ROBU VASI",Prodaja,Posest,,,,"935,00","2.500,00",Zasebna ponudba
AJDOVŠČINA,Prodaja,Garaža,,,,"13,00","9.600,00",Svet Real d.o.o.
AJDOVŠČINA,Prodaja,Stanovanje,,,,"28,00","65.000,00",Zasebna ponudba
AJDOVŠČINA,Prodaja,Stanovanje,,,,"58,60","109.000,00",Svet Real d.o.o.
AJDOVŠČINA,Prodaja,Poslovni prostor,,,,"69,90","110.000,00",Svet Real d.o.o.
AJDOVŠČINA,Prodaja,Stanovanje,,,,"75,20","129.000,00",Svet Real d.o.o.
AJDOVŠČINA,Prodaja,Poslovni prostor,,,,"158,40","283.000,00",Renes d.o.o.
AJDOVŠČINA,Prodaja,Hiša,,,,"180,00","245.000,00","Ruj nepremičnine, Jernej Suša, s.p."
AJDOVŠČINA,Prodaja,Hiša,,,,"223,20","155.000,00",EURO NINE d.o.o.
AJDOVŠČINA,Prodaja,Hiša,,,,"286,30","550.000,00",Rocco nepremičnine d.o.o.
AJDOVŠČINA,Prodaja,Hiša,,,,"360,00","150.000,00",Svet Real d.o.o.
AJDOVŠČINA,Prodaja,Posest,,,,"989,00","200.000,00",Nepremičnine Land d.o.o.
AJDOVŠČINA,Prodaja,Posest,,,,"989,00","200.000,00 &euro;<span class=""cena-old"">300.000,00",Nepremičnine Land d.o.o.
AJDOVŠČINA,Prodaja,Poslovni prostor,,,,"1.172,60","1.600.000,00",EURO NINE d.o.o.
